horse_name,horse_id,sex_age_latest,starts,wins,top2,top3,win_rate,quinella_rate,show_rate,avg_finish,avg_last3f,best_last3f,first_race_date,latest_race_date,latest_course,latest_surface,latest_distance_m,latest_finish,condition_starts_json
アイアムアッパレ,pw01dud102023102893/98,牡2,2,0,0,0,0.0,0.0,0.0,15.5,38.05,37.7,2025-07-13,2025-12-14,中山,芝,000,16,"{""中山|芝|000"": 1, ""福島|芝|800"": 1}"
アイアムアヒーロー,pw01dud102023102209/94,牡2,1,0,0,0,0.0,0.0,0.0,14.0,40.4,40.4,2025-10-11,2025-10-11,東京,ダート,400,14,"{""東京|ダート|400"": 1}"
アイアムイチバン,pw01dud102022103183/94,牡3,2,1,1,1,0.5,0.5,0.5,5.0,37.5,36.7,2025-03-29,2025-04-26,東京,ダート,400,1,"{""中山|ダート|200"": 1, ""東京|ダート|400"": 1}"
アイアムイチリュウ,pw01dud102017101159/89,牡8,1,0,0,0,0.0,0.0,0.0,8.0,40.4,40.4,2025-01-11,2025-01-11,中山,ダート,800,8,"{""中山|ダート|800"": 1}"
アイアムコロンブス,pw01dud102023103601/AF,牡2,2,0,0,0,0.0,0.0,0.0,7.5,34.45,34.4,2025-11-02,2025-11-30,東京,芝,000,8,"{""東京|芝|000"": 2}"
アイアムステキ,pw01dud102023102210/99,牝2,1,0,0,0,0.0,0.0,0.0,5.0,33.6,33.6,2025-10-18,2025-10-18,東京,芝,400,5,"{""東京|芝|400"": 1}"
アイアムユウシュン,pw01dud102021103204/2C,牡4,3,0,0,0,0.0,0.0,0.0,9.0,37.4333,35.7,2025-01-26,2025-12-28,中山,ダート,200,12,"{""中山|ダート|200"": 2, ""福島|ダート|150"": 1}"
アイアムルンルン,pw01dud102022103184/07,牝3,3,0,0,0,0.0,0.0,0.0,11.6667,36.3667,35.8,2025-03-01,2025-05-25,東京,芝,800,11,"{""小倉|芝|200"": 1, ""新潟|芝|000"": 1, ""東京|芝|800"": 1}"
アイアンオバーカム,pw01dud102022100587/57,牝3,9,0,0,0,0.0,0.0,0.0,5.8889,38.6444,37.2,2025-01-06,2025-09-15,中山,ダート,800,8,"{""中山|ダート|200"": 2, ""中山|ダート|800"": 2, ""新潟|ダート|200"": 2, ""東京|ダート|300"": 1, ""東京|ダート|400"": 1, ""福島|ダート|150"": 1}"
アイアンクラッド,pw01dud102023100232/C1,牡2,1,0,0,0,0.0,0.0,0.0,8.0,39.3,39.3,2025-12-27,2025-12-27,中山,ダート,200,8,"{""中山|ダート|200"": 1}"
アイアンソリッド,pw01dud102022100588/CA,牝3,9,1,3,4,0.111111,0.333333,0.444444,5.4444,37.8889,37.1,2025-01-12,2025-12-21,中京,ダート,200,6,"{""中京|ダート|200"": 2, ""中山|ダート|200"": 2, ""新潟|ダート|200"": 2, ""東京|ダート|400"": 2, ""福島|ダート|150"": 1}"
アイアンナックル,pw01dud102023100633/F8,牡2,2,0,0,1,0.0,0.0,0.5,4.5,36.8,36.5,2025-10-11,2025-10-26,東京,ダート,400,3,"{""東京|ダート|400"": 2}"
アイアンパイク,pw01dud102023102633/D6,牝2,1,0,1,1,0.0,1.0,1.0,2.0,34.8,34.8,2025-12-20,2025-12-20,中山,芝,800,2,"{""中山|芝|800"": 1}"
アイアンブランド,pw01dud102023100099/E4,牝2,3,0,0,0,0.0,0.0,0.0,12.0,38.9667,35.8,2025-09-28,2025-12-28,中山,芝,200,13,"{""中山|ダート|200"": 1, ""中山|芝|200"": 1, ""東京|ダート|400"": 1}"
アイウィル,pw01dud102021103502/D9,牡4,8,1,2,2,0.125,0.25,0.25,5.875,38.3125,37.0,2025-01-19,2025-10-25,新潟,ダート,800,8,"{""中山|ダート|800"": 3, ""函館|ダート|700"": 1, ""新潟|ダート|800"": 1, ""札幌|ダート|700"": 2, ""東京|ダート|600"": 1}"
アイオブザストーム,pw01dud102020104160/F2,牝5,6,0,0,0,0.0,0.0,0.0,12.0,35.4,33.6,2025-01-06,2025-08-31,札幌,芝,200,15,"{""中京|芝|400"": 1, ""中京|芝|600"": 1, ""函館|芝|200"": 1, ""札幌|芝|200"": 3}"
アイオリア,pw01dud102022104310/1C,牡3,6,2,2,3,0.333333,0.333333,0.5,4.0,38.05,35.9,2025-01-05,2025-10-19,東京,ダート,600,7,"{""中山|ダート|800"": 2, ""札幌|ダート|700"": 2, ""東京|ダート|600"": 1, ""阪神|ダート|800"": 1}"
アイオロステソーロ,pw01dud102023106728/F2,牡2,4,0,0,0,0.0,0.0,0.0,11.75,37.55,34.9,2025-06-14,2025-11-16,東京,ダート,400,12,"{""函館|ダート|000"": 1, ""函館|芝|000"": 1, ""東京|ダート|400"": 2}"
アイカチャン,pw01dud102022103591/82,牝3,3,0,0,0,0.0,0.0,0.0,13.0,37.3,36.6,2025-02-09,2025-03-01,中山,芝,800,9,"{""中山|芝|800"": 1, ""京都|ダート|200"": 1, ""小倉|芝|200"": 1}"
アイカンアズーラ,pw01dud102023102036/09,牝2,3,0,1,1,0.0,0.333333,0.333333,3.6667,37.8667,36.8,2025-10-25,2025-11-29,京都,ダート,400,5,"{""京都|ダート|400"": 3}"
アイガー,pw01dud102022101641/85,牝3,2,0,0,0,0.0,0.0,0.0,9.5,40.25,39.6,2025-03-01,2025-03-23,中山,ダート,800,12,"{""中山|ダート|800"": 2}"
アイガーリー,pw01dud102023103474/16,牡2,2,1,1,2,0.5,0.5,1.0,2.0,34.45,33.7,2025-09-15,2025-11-15,京都,芝,600,3,"{""京都|芝|600"": 1, ""阪神|芝|600"": 1}"
アイキャンドウイッ,pw01dud102019105793/11,牡6,6,0,0,0,0.0,0.0,0.0,7.0,35.5167,34.4,2025-02-10,2025-09-28,中山,芝,000,11,"{""中山|芝|000"": 1, ""中山|芝|600"": 1, ""京都|芝|800"": 1, ""小倉|芝|800"": 1, ""福島|芝|800"": 1, ""阪神|芝|000"": 1}"
アイク,pw01dud102023105012/EA,牝2,4,0,0,0,0.0,0.0,0.0,8.25,36.95,35.1,2025-07-26,2025-10-25,京都,ダート,400,12,"{""中京|芝|400"": 1, ""中京|芝|600"": 1, ""京都|ダート|400"": 1, ""京都|芝|600"": 1}"
アイクルムズ,pw01dud102023100118/22,牝2,1,0,0,0,0.0,0.0,0.0,13.0,38.6,38.6,2025-10-25,2025-10-25,東京,ダート,400,13,"{""東京|ダート|400"": 1}"
アイサイト,pw01dud102022104886/33,牝3,2,0,0,0,0.0,0.0,0.0,10.0,36.45,35.5,2025-02-16,2025-07-27,中京,芝,400,10,"{""中京|芝|400"": 1, ""京都|芝|600"": 1}"
アイサンサン,pw01dud102022103875/C1,牝3,7,2,2,3,0.285714,0.285714,0.428571,7.2857,34.8286,33.7,2025-01-18,2025-11-08,京都,芝,600,10,"{""中京|芝|400"": 1, ""中京|芝|600"": 1, ""京都|芝|600"": 2, ""東京|芝|400"": 1, ""東京|芝|600"": 1, ""阪神|芝|800"": 1}"
アイザックバローズ,pw01dud102020101548/61,牡5,5,0,0,0,0.0,0.0,0.0,9.0,35.74,34.4,2025-02-23,2025-11-22,京都,芝,000,7,"{""京都|芝|000"": 2, ""京都|芝|400"": 1, ""東京|ダート|100"": 1, ""福島|芝|600"": 1}"
アイスアイスベイビ,pw01dud102023102937/35,牡2,2,0,0,0,0.0,0.0,0.0,7.0,35.95,35.8,2025-11-15,2025-12-14,中京,芝,000,6,"{""中京|芝|000"": 1, ""福島|芝|000"": 1}"
アイスアンドスノー,pw01dud102023103691/3F,牡2,2,0,0,1,0.0,0.0,0.5,6.5,37.25,36.8,2025-07-19,2025-12-27,中山,芝,000,3,"{""中山|芝|000"": 1, ""福島|芝|800"": 1}"
アイスグリーン,pw01dud102020103354/21,牡5,7,0,2,2,0.0,0.285714,0.285714,5.1429,35.4143,34.0,2025-01-26,2025-11-15,京都,芝,000,8,"{""京都|芝|000"": 2, ""京都|芝|800"": 1, ""小倉|芝|000"": 1, ""小倉|芝|800"": 2, ""札幌|芝|000"": 1}"
アイスフィールド,pw01dud102022103330/4D,牡3,4,0,0,0,0.0,0.0,0.0,11.0,37.225,36.1,2025-03-15,2025-06-22,東京,ダート,100,10,"{""中山|芝|000"": 1, ""中山|芝|800"": 1, ""東京|ダート|100"": 1, ""東京|芝|400"": 1}"
アイスブレイカー,pw01dud102021103332/A7,牡4,5,0,0,0,0.0,0.0,0.0,8.6,36.46,35.6,2025-02-16,2025-12-06,中山,ダート,200,6,"{""中山|ダート|200"": 2, ""東京|ダート|400"": 3}"
アイスメルティング,pw01dud102023103274/B4,牝2,1,0,1,1,0.0,1.0,1.0,2.0,37.8,37.8,2025-12-27,2025-12-27,中山,ダート,200,2,"{""中山|ダート|200"": 1}"
アイスモント,pw01dud102022102931/F7,牝3,9,0,2,6,0.0,0.222222,0.666667,3.8889,36.2,34.9,2025-01-12,2025-08-16,中京,芝,200,7,"{""中京|芝|000"": 2, ""中京|芝|200"": 1, ""京都|芝|000"": 2, ""小倉|芝|000"": 2, ""阪神|芝|000"": 1, ""阪神|芝|800"": 2}"
アイスリンディ,pw01dud102021103575/A2,牝4,6,0,0,0,0.0,0.0,0.0,10.0,37.2833,36.2,2025-02-16,2025-11-08,福島,ダート,150,7,"{""中京|ダート|400"": 1, ""小倉|ダート|000"": 1, ""新潟|ダート|200"": 1, ""福島|ダート|150"": 2, ""阪神|ダート|200"": 1}"
アイスリーディング,pw01dud102022106995/DF,牝3,10,0,0,2,0.0,0.0,0.2,6.4,38.94,37.0,2025-02-09,2025-09-21,阪神,ダート,800,12,"{""中山|ダート|800"": 2, ""新潟|ダート|800"": 2, ""東京|ダート|400"": 2, ""東京|ダート|600"": 3, ""阪神|ダート|800"": 1}"
アイスヴィレッジ,pw01dud102022103702/C7,牡3,5,0,0,0,0.0,0.0,0.0,7.8,37.22,36.0,2025-01-05,2025-09-07,札幌,芝,200,7,"{""中山|ダート|800"": 1, ""中山|芝|800"": 1, ""札幌|芝|200"": 2, ""東京|芝|600"": 1}"
アイズ,pw01dud102021107154/07,牡4,4,0,0,0,0.0,0.0,0.0,10.75,38.25,37.3,2025-01-13,2025-06-08,東京,ダート,600,12,"{""中京|ダート|400"": 1, ""京都|ダート|400"": 1, ""新潟|ダート|200"": 1, ""東京|ダート|600"": 1}"
アイズミサクラ,pw01dud102022104364/38,牝3,5,0,0,0,0.0,0.0,0.0,12.6,39.04,36.9,2025-01-06,2025-08-17,札幌,ダート,700,11,"{""中京|ダート|200"": 2, ""函館|芝|200"": 1, ""札幌|ダート|700"": 1, ""阪神|ダート|200"": 1}"
アイソラシー,pw01dud102020102819/26,牝5,1,0,0,0,0.0,0.0,0.0,13.0,42.8,42.8,2025-01-11,2025-01-11,中山,ダート,800,13,"{""中山|ダート|800"": 1}"
アイヅワカマツ,pw01dud102022105888/08,牡3,1,0,0,0,0.0,0.0,0.0,9.0,41.0,41.0,2025-03-30,2025-03-30,阪神,ダート,800,9,"{""阪神|ダート|800"": 1}"
アイトカコイトカ,pw01dud102022109083/FD,牝3,2,0,0,0,0.0,0.0,0.0,15.5,36.15,35.7,2025-01-06,2025-04-13,中山,芝,000,16,"{""中山|芝|000"": 1, ""中山|芝|600"": 1}"
アイドクレース,pw01dud102023104487/6E,牝2,5,0,0,2,0.0,0.0,0.4,4.6,34.3,33.7,2025-08-17,2025-11-22,福島,芝,800,3,"{""中山|芝|000"": 2, ""新潟|芝|800"": 2, ""福島|芝|800"": 1}"
アイドル,pw01dud102022105966/33,牝3,10,1,4,4,0.1,0.4,0.4,5.2,37.17,35.2,2025-02-02,2025-12-21,中京,ダート,200,5,"{""中京|ダート|200"": 1, ""中山|ダート|200"": 1, ""小倉|芝|200"": 2, ""東京|ダート|300"": 2, ""福島|ダート|150"": 4}"
アイドルアイズ,pw01dud102022104653/48,牝3,5,0,0,2,0.0,0.0,0.4,5.6,39.1,38.1,2025-03-16,2025-08-16,札幌,ダート,700,8,"{""小倉|ダート|700"": 2, ""札幌|ダート|700"": 1, ""阪神|ダート|200"": 1, ""阪神|ダート|800"": 1}"
アイドルフェスタ,pw01dud102022103246/DE,牝3,4,0,0,0,0.0,0.0,0.0,14.0,37.45,34.9,2025-01-26,2025-07-26,新潟,芝,800,18,"{""中山|ダート|200"": 1, ""新潟|芝|800"": 1, ""東京|ダート|400"": 1, ""福島|ダート|150"": 1}"
アイニードユー,pw01dud102023101159/C4,牝2,3,1,1,1,0.333333,0.333333,0.333333,3.3333,34.3,34.1,2025-08-09,2025-12-13,中京,芝,400,5,"{""中京|芝|400"": 2, ""京都|芝|400"": 1}"
アイノセンシ,pw01dud102020100632/E1,牡5,5,1,1,1,0.2,0.2,0.2,8.2,35.08,34.3,2025-04-12,2025-11-08,福島,芝,200,12,"{""函館|芝|200"": 1, ""新潟|芝|200"": 1, ""福島|芝|200"": 3}"
アイビーガオー,pw01dud102022100039/F8,牡3,5,0,0,0,0.0,0.0,0.0,9.2,38.12,37.3,2025-01-06,2025-07-12,函館,ダート,700,9,"{""中山|ダート|200"": 3, ""函館|ダート|700"": 1, ""東京|ダート|400"": 1}"
アイビーキラリ,pw01dud102023106574/14,牝2,2,0,0,0,0.0,0.0,0.0,13.5,37.0,34.5,2025-10-26,2025-12-20,中山,ダート,200,14,"{""中山|ダート|200"": 1, ""新潟|芝|600"": 1}"
アイビースピネル,pw01dud102022101851/F7,せん3,3,0,0,0,0.0,0.0,0.0,16.0,42.1333,39.8,2025-01-11,2025-05-17,東京,ダート,300,16,"{""中山|ダート|200"": 1, ""京都|ダート|400"": 1, ""東京|ダート|300"": 1}"
アイビーヒメチャン,pw01dud102022103959/9E,牝3,1,0,0,0,0.0,0.0,0.0,15.0,39.6,39.6,2025-03-23,2025-03-23,中山,ダート,200,15,"{""中山|ダート|200"": 1}"
アイビーミャーオ,pw01dud102023101755/1E,牝2,2,0,0,0,0.0,0.0,0.0,11.5,40.95,39.5,2025-11-22,2025-12-14,中京,ダート,800,9,"{""中京|ダート|800"": 1, ""京都|ダート|400"": 1}"
アイファーアイドル,pw01dud102023100657/E4,牡2,2,0,0,0,0.0,0.0,0.0,10.5,38.05,36.5,2025-06-22,2025-08-09,新潟,ダート,200,13,"{""新潟|ダート|200"": 1, ""東京|芝|400"": 1}"
アイファーエポック,pw01dud102019101325/07,牡6,3,0,0,0,0.0,0.0,0.0,9.6667,38.3667,37.6,2025-03-22,2025-09-28,阪神,ダート,800,16,"{""中山|ダート|800"": 1, ""阪神|ダート|800"": 2}"
アイファーキャップ,pw01dud102021107295/EB,牡4,6,0,1,2,0.0,0.166667,0.333333,6.3333,38.1,37.6,2025-01-26,2025-07-27,中京,障害,000,9,"{""中京|ダート|900"": 1, ""中京|障害|000"": 1, ""京都|ダート|800"": 1, ""小倉|ダート|400"": 2, ""新潟|障害|890"": 1}"
アイファーグローブ,pw01dud102019101330/D8,牡6,8,0,1,1,0.0,0.125,0.125,7.375,39.2875,38.2,2025-01-06,2025-12-06,中山,ダート,800,9,"{""中山|ダート|800"": 3, ""新潟|ダート|800"": 2, ""福島|ダート|700"": 3}"
アイファーサックス,pw01dud102023100656/71,牝2,2,0,0,0,0.0,0.0,0.0,15.5,36.85,34.8,2025-10-04,2025-11-30,東京,ダート,600,15,"{""東京|ダート|600"": 1, ""東京|芝|400"": 1}"
アイファーシアトル,pw01dud102020107113/C8,牝5,2,0,0,0,0.0,0.0,0.0,9.5,37.4,36.0,2025-01-05,2025-03-01,中山,ダート,200,14,"{""中京|ダート|200"": 1, ""中山|ダート|200"": 1}"
アイファーシャドー,pw01dud102022104259/36,牡3,6,0,0,0,0.0,0.0,0.0,6.5,36.7,36.0,2025-04-05,2025-08-31,新潟,ダート,200,8,"{""中山|ダート|200"": 1, ""新潟|ダート|200"": 3, ""東京|ダート|400"": 2}"
アイファージェット,pw01dud102022101114/B9,牡3,4,0,0,0,0.0,0.0,0.0,12.25,40.125,38.8,2025-01-12,2025-08-02,中京,ダート,800,9,"{""中京|ダート|800"": 2, ""阪神|ダート|400"": 2}"
アイファースキャン,pw01dud102020101271/D9,牡5,4,0,0,0,0.0,0.0,0.0,12.5,36.8,35.7,2025-01-18,2025-12-13,中山,ダート,200,12,"{""中京|ダート|400"": 2, ""中山|ダート|200"": 1, ""東京|ダート|400"": 1}"
アイファーチーター,pw01dud102018100099/35,牡7,1,0,0,0,0.0,0.0,0.0,11.0,37.5,37.5,2025-07-19,2025-07-19,福島,ダート,150,11,"{""福島|ダート|150"": 1}"
アイファーテイオー,pw01dud102020101275/A5,牡5,6,0,1,2,0.0,0.166667,0.333333,6.1667,37.7,36.0,2025-02-02,2025-08-23,新潟,ダート,800,4,"{""小倉|ダート|700"": 2, ""新潟|ダート|800"": 1, ""東京|ダート|100"": 2, ""阪神|ダート|000"": 1}"
アイファーバトル,pw01dud102021101023/99,牡4,10,1,1,1,0.1,0.1,0.1,7.5,36.03,33.7,2025-02-16,2025-12-20,中京,ダート,400,8,"{""中京|ダート|400"": 2, ""東京|ダート|400"": 2, ""東京|ダート|600"": 3, ""東京|芝|400"": 1, ""阪神|ダート|400"": 2}"
アイファーファイト,pw01dud102019101233/00,牡6,8,0,0,0,0.0,0.0,0.0,9.625,37.75,33.7,2025-01-26,2025-12-20,中京,ダート,900,12,"{""中京|ダート|800"": 1, ""中京|ダート|900"": 1, ""小倉|ダート|700"": 2, ""東京|ダート|400"": 1, ""福島|ダート|700"": 2, ""阪神|芝|600"": 1}"
アイファーベア,pw01dud102018100107/F0,牡7,0,0,0,0,,,,,,,2025-05-24,2025-05-24,新潟,ダート,200,中止,"{""新潟|ダート|200"": 1}"
アイファーマオ,pw01dud102019106470/F4,牝6,1,0,0,0,0.0,0.0,0.0,16.0,41.9,41.9,2025-03-16,2025-03-16,中山,ダート,200,16,"{""中山|ダート|200"": 1}"
アイファーモービル,pw01dud102022101117/12,牡3,10,0,2,8,0.0,0.2,0.8,3.4,36.55,35.0,2025-01-18,2025-09-07,阪神,ダート,400,7,"{""中京|ダート|200"": 2, ""京都|ダート|200"": 1, ""小倉|ダート|000"": 3, ""福島|ダート|150"": 2, ""阪神|ダート|200"": 1, ""阪神|ダート|400"": 1}"
アイファーリーオー,pw01dud102022101112/D3,牡3,3,0,0,0,0.0,0.0,0.0,14.0,38.4333,37.3,2025-01-12,2025-04-05,中山,ダート,200,14,"{""中山|ダート|200"": 2, ""京都|ダート|400"": 1}"
アイファーリーベン,pw01dud102019102950/0D,牝6,9,0,0,0,0.0,0.0,0.0,13.7778,38.4667,37.2,2025-04-19,2025-12-28,中山,ダート,200,16,"{""中京|ダート|200"": 1, ""中山|ダート|200"": 2, ""新潟|ダート|200"": 3, ""札幌|ダート|000"": 1, ""東京|ダート|400"": 1, ""福島|ダート|150"": 1}"
アイファーローレル,pw01dud102023100075/F8,牝2,2,0,0,0,0.0,0.0,0.0,10.5,38.7,38.3,2025-09-15,2025-10-11,東京,ダート,300,13,"{""中山|ダート|200"": 1, ""東京|ダート|300"": 1}"
アイブリンク,pw01dud102022100358/38,牝3,7,1,2,2,0.142857,0.285714,0.285714,5.1429,38.1429,36.5,2025-01-11,2025-12-14,阪神,ダート,800,6,"{""中京|ダート|800"": 1, ""中京|芝|600"": 1, ""京都|ダート|400"": 1, ""京都|ダート|800"": 1, ""小倉|ダート|700"": 1, ""阪神|ダート|400"": 1, ""阪神|ダート|800"": 1}"
アイムアクイーン,pw01dud102022100181/E1,牝3,8,0,0,0,0.0,0.0,0.0,9.5,38.1375,35.4,2025-05-11,2025-10-18,新潟,ダート,800,12,"{""中京|ダート|800"": 2, ""中京|芝|000"": 1, ""京都|ダート|800"": 1, ""新潟|ダート|200"": 1, ""新潟|ダート|800"": 1, ""阪神|ダート|400"": 1, ""阪神|ダート|800"": 1}"
アイムイン,pw01dud102023107111/86,牡2,2,0,2,2,0.0,1.0,1.0,2.0,33.9,33.5,2025-11-09,2025-11-30,東京,芝,000,2,"{""東京|芝|000"": 2}"
アイムスティルミー,pw01dud102023106595/A7,せん2,5,0,0,1,0.0,0.0,0.2,6.4,36.32,35.3,2025-07-12,2025-11-09,東京,芝,800,11,"{""中山|芝|800"": 1, ""函館|芝|800"": 1, ""札幌|芝|800"": 1, ""東京|芝|000"": 1, ""東京|芝|800"": 1}"
アイヨトワニ,pw01dud102022105896/32,牝3,2,0,0,0,0.0,0.0,0.0,7.5,41.55,41.0,2025-01-06,2025-01-18,中京,ダート,800,9,"{""中京|ダート|800"": 1, ""中山|ダート|800"": 1}"
アイランドピーク,pw01dud102021101363/6C,牡4,3,0,0,0,0.0,0.0,0.0,9.0,36.7667,36.4,2025-02-08,2025-07-06,福島,ダート,150,8,"{""東京|ダート|300"": 2, ""福島|ダート|150"": 1}"
アイリッシュパール,pw01dud102020103608/30,牝5,2,0,0,0,0.0,0.0,0.0,9.5,34.9,33.0,2025-01-26,2025-05-03,新潟,芝,000,10,"{""小倉|ダート|000"": 1, ""新潟|芝|000"": 1}"
アイルクラウン,pw01dud102022103486/80,せん3,1,0,0,0,0.0,0.0,0.0,13.0,39.4,39.4,2025-05-04,2025-06-15,函館,ダート,000,中止,"{""函館|ダート|000"": 1, ""新潟|ダート|200"": 1}"
アイルシャンス,pw01dud102022101474/AC,牝3,3,0,0,0,0.0,0.0,0.0,14.3333,39.7333,35.8,2025-03-15,2025-05-31,京都,ダート,800,16,"{""中京|芝|600"": 1, ""京都|ダート|800"": 1, ""京都|芝|800"": 1}"
アイルトン,pw01dud102023102920/00,牡2,3,0,1,1,0.0,0.333333,0.333333,6.6667,35.2667,34.9,2025-07-26,2025-11-08,京都,芝,400,10,"{""中京|芝|400"": 2, ""京都|芝|400"": 1}"
アイルトンバローズ,pw01dud102022104323/85,牡3,5,0,1,2,0.0,0.2,0.4,6.0,36.5,34.9,2025-02-02,2025-08-23,中京,ダート,200,12,"{""中京|ダート|200"": 1, ""小倉|芝|200"": 3, ""福島|芝|200"": 1}"
アイルドリアン,pw01dud102021105605/41,牝4,3,0,0,0,0.0,0.0,0.0,7.6667,35.6,35.3,2025-01-05,2025-04-13,福島,芝,200,4,"{""中山|芝|200"": 1, ""小倉|芝|200"": 1, ""福島|芝|200"": 1}"
アイルビリーヴ,pw01dud102022103176/DD,牡3,6,0,0,0,0.0,0.0,0.0,8.5,37.8667,34.9,2025-01-12,2025-08-23,札幌,ダート,700,13,"{""中京|ダート|400"": 1, ""函館|芝|000"": 1, ""函館|芝|800"": 1, ""札幌|ダート|700"": 1, ""阪神|芝|600"": 1, ""阪神|芝|800"": 1}"
アイルフィレール,pw01dud102022106859/3A,牝3,3,0,0,0,0.0,0.0,0.0,12.3333,38.5,37.2,2025-05-04,2025-08-24,中京,ダート,400,11,"{""中京|ダート|400"": 1, ""小倉|芝|000"": 1, ""新潟|芝|800"": 1}"
アイルランズコール,pw01dud102022106580/CC,牡3,6,0,0,3,0.0,0.0,0.5,6.3333,39.8,37.3,2025-03-02,2025-08-23,中京,ダート,800,3,"{""中京|ダート|800"": 2, ""小倉|ダート|700"": 2, ""新潟|ダート|800"": 1, ""阪神|ダート|800"": 1}"
アイヲツグモノ,pw01dud102020101378/2F,牝5,4,0,0,0,0.0,0.0,0.0,9.0,34.75,33.9,2025-02-16,2025-11-29,京都,芝,200,16,"{""京都|芝|200"": 1, ""小倉|芝|200"": 2, ""新潟|芝|000"": 1}"
アインプレーゲン,pw01dud102022110055/1A,牡3,2,0,0,0,0.0,0.0,0.0,5.5,38.45,38.3,2025-04-06,2025-04-19,阪神,ダート,000,5,"{""阪神|ダート|000"": 1, ""阪神|ダート|800"": 1}"
アインホルン,pw01dud102022104823/7A,牡3,5,0,0,0,0.0,0.0,0.0,11.8,38.54,37.0,2025-01-05,2025-08-02,札幌,芝,000,15,"{""中京|芝|000"": 1, ""京都|ダート|400"": 1, ""京都|ダート|800"": 1, ""小倉|ダート|700"": 1, ""札幌|芝|000"": 1}"
アウェイクネス,pw01dud102023110027/5C,牝2,4,0,0,0,0.0,0.0,0.0,7.75,35.925,35.1,2025-09-28,2025-12-27,阪神,芝,600,7,"{""京都|ダート|200"": 1, ""京都|芝|400"": 1, ""阪神|芝|400"": 1, ""阪神|芝|600"": 1}"
アウクソー,pw01dud102020103261/A7,牝5,9,0,2,2,0.0,0.222222,0.222222,7.2222,34.9667,33.8,2025-02-01,2025-11-15,福島,芝,200,11,"{""中京|芝|200"": 2, ""中京|芝|400"": 1, ""小倉|芝|200"": 2, ""新潟|芝|000"": 1, ""新潟|芝|200"": 1, ""福島|芝|200"": 1, ""阪神|芝|400"": 1}"
アウスラフラッグ,pw01dud102022100638/AB,牝3,5,0,0,0,0.0,0.0,0.0,9.0,38.94,35.8,2025-02-09,2025-08-09,札幌,ダート,700,9,"{""函館|ダート|000"": 1, ""新潟|ダート|800"": 1, ""札幌|ダート|700"": 1, ""東京|ダート|600"": 2}"
アウスヴァール,pw01dud102018101010/99,せん7,4,0,0,0,0.0,0.0,0.0,15.25,38.725,37.5,2025-01-26,2025-08-17,札幌,芝,000,13,"{""中山|芝|200"": 1, ""京都|芝|800"": 1, ""函館|芝|000"": 1, ""札幌|芝|000"": 1}"
アウダーシア,pw01dud102023107321/F8,牡2,2,0,2,2,0.0,1.0,1.0,2.0,33.75,33.5,2025-06-08,2025-11-30,東京,芝,600,2,"{""東京|芝|600"": 1, ""東京|芝|800"": 1}"
アウトザロー,pw01dud102023110020/37,牡2,3,0,1,1,0.0,0.333333,0.333333,5.6667,37.1,35.7,2025-07-19,2025-08-24,中京,芝,600,7,"{""中京|ダート|200"": 1, ""中京|芝|600"": 1, ""小倉|芝|200"": 1}"
アウトドライブ,pw01dud102021100868/B1,牡4,4,1,1,1,0.25,0.25,0.25,7.75,38.225,37.1,2025-01-18,2025-09-28,阪神,ダート,800,12,"{""中京|ダート|800"": 1, ""阪神|ダート|800"": 3}"
アウトレンジ,pw01dud102020105621/09,牡5,3,1,1,1,0.333333,0.333333,0.333333,4.3333,36.6667,35.1,2025-05-24,2025-12-07,中京,ダート,800,5,"{""中京|ダート|800"": 1, ""京都|ダート|800"": 1, ""京都|ダート|900"": 1}"
アウフヘーベン,pw01dud102020105305/22,牝5,9,1,3,5,0.111111,0.333333,0.555556,4.1111,34.3778,32.9,2025-02-10,2025-12-07,阪神,芝,800,2,"{""中京|芝|000"": 1, ""中京|芝|600"": 1, ""京都|芝|000"": 1, ""京都|芝|800"": 2, ""小倉|芝|800"": 2, ""阪神|芝|800"": 2}"
アウフヴィント,pw01dud102022105353/A4,牝3,7,0,1,1,0.0,0.142857,0.142857,8.5714,40.0429,35.6,2025-01-25,2025-09-28,中山,芝,600,12,"{""中山|ダート|800"": 3, ""中山|芝|600"": 1, ""東京|ダート|100"": 1, ""東京|ダート|600"": 1, ""福島|ダート|700"": 1}"
アウルムレガリア,pw01dud102022103503/D8,牝3,5,0,0,0,0.0,0.0,0.0,10.0,36.7,36.2,2025-01-12,2025-08-23,札幌,芝,000,12,"{""中山|芝|000"": 2, ""函館|芝|000"": 1, ""新潟|芝|000"": 1, ""札幌|芝|000"": 1}"
アウロス,pw01dud102020106306/84,牝5,2,0,0,0,0.0,0.0,0.0,13.0,37.6,35.8,2025-05-25,2025-06-15,阪神,ダート,800,14,"{""東京|ダート|600"": 1, ""阪神|ダート|800"": 1}"
アウローラシエル,pw01dud102020101781/DE,牡5,5,0,1,1,0.0,0.2,0.2,9.4,36.56,34.9,2025-02-10,2025-11-15,福島,芝,800,15,"{""京都|芝|800"": 1, ""小倉|芝|800"": 1, ""新潟|芝|800"": 1, ""福島|芝|800"": 2}"
アオイアイ,pw01dud102022104162/F0,牝3,3,0,0,0,0.0,0.0,0.0,11.3333,38.3333,34.6,2025-04-13,2025-07-13,小倉,芝,800,15,"{""京都|芝|800"": 1, ""小倉|芝|800"": 1, ""福島|ダート|700"": 1}"
